Host,Path,KeyName,Value,IsSecure,IsHTTPOnly,HasExpire,IsPersistent,CreateDate,ExpireDate
.mail.ru,/,VID,,true,true,true,true,2024-11-11T06:29:58.446005+05:00,2025-11-12T06:29:58.446005+05:00
top-fwz1.mail.ru,/,PVID,,true,true,true,true,2024-11-11T06:29:58.445862+05:00,2025-11-12T06:29:58.445862+05:00
.stamina-online.com,/,t3_sid_7449771,,false,false,true,true,2024-11-11T06:29:58.400937+05:00,2025-11-11T06:29:58.400909+05:00
.stamina-online.com,/,_ga_96NVJB4P9N,,false,false,true,true,2024-11-11T06:29:58.394417+05:00,2025-12-16T06:29:58.394391+05:00
stamina-online.com,/,tmr_detect,,false,false,true,true,2024-11-11T06:27:18.542804+05:00,2024-11-12T06:27:18+05:00
.stamina-online.com,/,_ga,,false,false,true,true,2024-11-11T06:27:16.305875+05:00,2025-12-16T06:27:16.305836+05:00
.bing.com,/,_RwBf,,true,false,true,true,2024-11-11T06:27:13.7131+05:00,2025-11-11T06:27:13.7131+05:00
.bing.com,/,GC,,true,false,true,true,2024-11-11T06:27:13.713046+05:00,2024-11-12T06:27:13.713046+05:00
.bing.com,/,SRCHHPGUSR,,true,false,true,true,2024-11-11T06:27:13.652549+05:00,2025-12-16T06:27:13.652512+05:00
.bing.com,/,USRLOC,,true,true,true,true,2024-11-11T06:27:13.536675+05:00,2025-12-16T06:27:13.536675+05:00
.adnxs.com,/,anj,,true,true,true,true,2024-11-11T06:27:09.578785+05:00,2025-02-09T06:27:09.578785+05:00
.popin.cc,/,__mguid_,,true,false,true,true,2024-11-11T06:27:09.251882+05:00,2025-11-11T06:27:09.251882+05:00
.adnxs.com,/,uuid2,,true,true,true,true,2024-11-11T06:27:07.962833+05:00,2025-02-09T06:27:09.578938+05:00
.adnxs.com,/,XANDR_PANID,,true,false,true,true,2024-11-11T06:27:07.962582+05:00,2025-02-09T06:27:09.578629+05:00
.linkedin.com,/,lidc,,true,false,true,true,2024-11-11T06:27:06.853292+05:00,2024-11-12T06:27:06.853292+05:00
.msn.com,/,OptanonConsent,,true,false,true,true,2024-11-11T06:27:05.610364+05:00,2025-11-11T06:27:05+05:00
.msn.com,/,eupubconsent-v2,,true,false,true,true,2024-11-11T06:26:56.423696+05:00,2025-11-11T06:26:56+05:00
.msn.com,/,OptanonAlertBoxClosed,,true,false,true,true,2024-11-11T06:26:56.397684+05:00,2025-11-11T06:26:56+05:00
ntp.msn.com,/,MSFPC,,true,false,true,true,2024-11-11T06:26:46.209135+05:00,2025-11-11T06:26:46.209096+05:00
.c.msn.com,/,ANONCHK,,true,false,true,true,2024-11-11T06:26:42.527364+05:00,2024-11-11T06:36:43.527364+05:00
ntp.msn.com,/,ai_session,,true,false,true,true,2024-11-11T06:26:41.176414+05:00,2024-11-11T06:56:41+05:00
.yandex.kz,/,bh,,true,false,true,true,2024-11-11T06:24:43.953442+05:00,2025-12-16T06:24:44.393273+05:00
.yandex.kz,/,_ym_d,,true,false,true,true,2024-11-11T06:24:36.374782+05:00,2025-11-11T06:24:36+05:00
.yandex.kz,/,_yasc,,true,false,true,true,2024-11-11T06:20:43.819959+05:00,2025-12-16T06:20:43.819959+05:00
.ya.ru,/,bh,,true,false,true,true,2024-11-11T06:20:42.85415+05:00,2025-12-16T06:20:42.85415+05:00
.stamina-online.com,/,_ym_visorc,,true,false,true,true,2024-11-11T06:03:48.054471+05:00,2024-11-11T06:33:48+05:00
login.microsoftonline.com,/,fpc,,true,true,true,true,2024-11-11T06:03:40.962762+05:00,2024-12-11T06:03:40.962762+05:00
login.microsoftonline.com,/,buid,,true,true,true,true,2024-11-11T06:03:40.962626+05:00,2024-12-11T06:03:40.962626+05:00
.bing.com,/,SRCHUSR,,true,false,true,true,2024-11-11T06:03:40.391976+05:00,2025-12-16T06:03:40.391872+05:00
.ya.ru,/,yp,,true,false,true,true,2024-11-11T06:03:29.323186+05:00,2025-12-16T06:03:29.323186+05:00
.yandex.kz,/,yp,,true,false,true,true,2024-11-11T06:03:28.70086+05:00,2025-12-16T06:03:28.70086+05:00
.yandex.kz,/,ymex,,true,false,true,true,2024-11-11T06:03:20.231608+05:00,2025-11-11T06:03:20.231608+05:00
.yandex.kz,/,yuidss,,true,false,true,true,2024-11-11T06:03:20.231543+05:00,2025-12-16T06:03:20.231543+05:00
.yandex.kz,/,i,,true,true,true,true,2024-11-11T06:03:19.191581+05:00,2025-12-16T06:03:19.191581+05:00
.yandex.kz,/,sso_status,,false,false,true,true,2024-11-11T06:03:18.722405+05:00,2024-11-11T07:43:18+05:00
.yandex.kz,/,mda2_beacon,,true,false,true,true,2024-11-11T06:03:18.690689+05:00,2025-12-16T06:03:18.690689+05:00
.yandex.kz,/,yandexuid,,true,false,true,true,2024-11-11T06:03:18.690642+05:00,2025-12-16T06:03:20.231395+05:00
.yandex.kz,/,yandex_login,,true,false,true,true,2024-11-11T06:03:18.690482+05:00,2025-11-11T06:03:18.690482+05:00
.yandex.kz,/,sessar,,true,true,true,true,2024-11-11T06:03:18.690415+05:00,2024-11-11T08:03:18.690415+05:00
.yandex.kz,/,Session_id,,true,true,true,true,2024-11-11T06:03:18.690307+05:00,2024-11-11T08:03:18.690307+05:00
.passport.yandex.ru,/,mda2_domains,,true,false,true,true,2024-11-11T06:03:18.303527+05:00,2025-12-16T06:03:18.303527+05:00
